ISO3,Year,Country,CO2_per_capita_mt,GDP_per_capita_USD2015,lnCO2,lnGDP,lnGDP2
ZAF,2007,South Africa,9.10281000552084,5891.42069421698,2.2085831576719013,8.681252452011616,75.3641441355577
ZAF,2008,South Africa,9.54569945858325,6009.71963138635,2.2560907345958676,8.701133376089404,75.70972202849698
ZAF,2009,South Africa,8.83353970564321,5847.05811084505,2.1785558069541633,8.673693926700775,75.2329663340859
ZAF,2010,South Africa,8.87117430020844,5953.94506512821,2.182807177661109,8.691809314984317,75.54754916804814
ZAF,2011,South Africa,8.37758623633968,6067.12482726885,2.12555983437995,8.710640102523593,75.87525099569223
ZAF,2012,South Africa,8.57667504044573,6121.55783860713,2.1490463139693023,8.71957189190634,76.0309339781231
ZAF,2013,South Africa,8.68872722515024,6170.87670863373,2.1620264642408324,8.727596198966356,76.17093541221199
ZAF,2014,South Africa,8.75262375978144,6155.00589462516,2.169353513681756,8.725020996315116,76.12599138613963
ZAF,2015,South Africa,8.14948651738695,6112.27382485974,2.097954921266335,8.718054131030598,76.00446783157967
ZAF,2016,South Africa,8.03701551903542,6095.295060428,2.0840578101775065,8.715272450986127,75.95597389491773
ZAF,2017,South Africa,8.14751418587147,6125.6920507497,2.0977128728598795,8.72024701690778,76.04270803588905
ZAF,2018,South Africa,8.077016906198,6117.2701406047,2.089022609586358,8.718871220537295,76.01871536031351
ZAF,2019,South Africa,8.01412233375962,6032.82972598668,2.0812052771036353,8.704971454270988,75.77652801967275
ZAF,2020,South Africa,7.4445834618028,5569.58483319272,2.0074867158539007,8.625075793912258,74.39193245073116
ZAF,2021,South Africa,7.29340675223128,5750.90937479584,1.9869707554115041,8.657113273425072,74.94561022891256
ZAF,2022,South Africa,6.88263936192025,5786.86505344736,1.9290022065648569,8.663345982388412,75.05356361056543
TUR,2003,Turkey,3.38625448591684,6496.07277294612,1.2197244391610198,8.778953084510617,77.07001726003847
TUR,2004,Turkey,3.43889343076092,7061.62219794984,1.2351497425317455,8.86243007717421,78.54266687280207
TUR,2005,Turkey,3.5495611200862,7623.14640948457,1.266823967700003,8.938944478085427,79.90472838229394
TUR,2006,Turkey,3.91176721812036,8078.5153787571,1.3639892458316436,8.996963394379998,80.94535031981366
TUR,2007,Turkey,4.28079364507414,8477.53328393352,1.4541384234955743,9.04517480014172,81.81518716511879
TUR,2008,Turkey,4.21593984029483,8447.93976396947,1.4388725417574684,9.041677875708675,81.75193880807974
TUR,2009,Turkey,4.1835136272879,7925.30110421185,1.4311514741374545,8.977815592246035,80.60117280837602
TUR,2010,Turkey,4.26801919276368,8472.57809050119,1.4511498303281027,9.044590120376022,81.80461044560353
TUR,2011,Turkey,4.48332295905392,9265.85910238578,1.5003645034113928,9.134091859988523,83.43163410670859
TUR,2012,Turkey,4.57803809727294,9588.32066531438,1.5212705433115943,9.16830103943749,84.05774394975055
TUR,2013,Turkey,4.38456228128668,10269.4489140773,1.4780897990141773,9.23692864170461,85.32085073194297
TUR,2014,Turkey,4.60446003106117,10597.9801881716,1.5270254057335675,9.268418713657828,85.90358545168263
TUR,2015,Turkey,4.70276339686943,11064.6494504662,1.5481502927178756,9.31151057104938,86.70422911476436
TUR,2016,Turkey,4.93533246982308,11279.6169531569,1.5964200403878512,9.330752566421996,87.06294345579066
TUR,2017,Turkey,5.39416444458135,12005.6459824832,1.6853177108270534,9.39313231666067,88.23093471829506
TUR,2018,Turkey,5.27401972926131,12255.0082146169,1.6627928287775886,9.413689966269365,88.61755878104051
TUR,2019,Turkey,5.01913672458907,12238.2950220128,1.6132579517022485,9.412325250776597,88.59186662640673
TUR,2020,Turkey,5.07395962903497,12338.643833135,1.62412150470771,9.420491391349826,88.74565805449618
TUR,2021,Turkey,5.47500634541911,13670.938029516,1.7001934346825522,9.52302754693335,90.6880536596514
TUR,2022,Turkey,5.22956172007378,14273.5747654873,1.6543274734321998,9.566165188242875,91.51151640874984
