iso3c,year,ca_gdp
NRU,2019,4.4664131740124
NRU,2018,7.32618163474933
NRU,2017,12.9027882964666
NRU,2016,2.13176978498193
NRU,2015,-19.6806864872646
NRU,2014,26.2528412118549
NRU,2013,48.5829941527655
NRU,2012,34.497710429265
NRU,2011,30.3666523480054
NRU,2010,49.78487721527
NRU,2009,67.7850531942605
NRU,2008,49.5416353511119
NPL,2020,-0.251653542060189
NPL,2019,-5.12963069016165
NPL,2018,-8.30080510271615
NPL,2017,-3.56432924017776
NPL,2016,-0.68434663855188
NPL,2015,10.0433083922087
NPL,2014,2.18298241690426
NPL,2013,5.23137372695533
NPL,2012,2.66070688066426
NPL,2011,1.33775079697372
NPL,2010,-0.797465992929109
NPL,2009,0.166582495866466
NPL,2008,5.84548564127574
NPL,2007,0.0548101106677199
NPL,2006,1.65950180353451
NPL,2005,1.88302388576204
NPL,2004,1.37422203617593
NPL,2003,2.84759408801275
NPL,2002,3.55629677532073
NPL,2001,-2.74157105052742
NPL,2000,-2.37793695824869
NPL,1999,-1.56303865698338
NPL,1998,-1.38366225352984
NPL,1997,-7.89001512904615
NPL,1996,-7.22314976747943
NPL,1995,-8.09774068768955
NPL,1994,-8.65264352510644
NPL,1993,-6.0791903862215
NPL,1992,-5.33098805246589
NPL,1991,-7.76258064740647
NPL,1990,-7.97220238232379
NPL,1989,-6.90133466974619
NPL,1988,-7.78462323528644
NPL,1987,-4.17053119544975
NPL,1986,-4.18162701427947
NPL,1985,-4.64183469143624
NLD,2020,5.72296366531146
NLD,2019,6.79648399842587
NLD,2018,8.83776760941587
NLD,2017,8.04969631853887
NLD,2016,7.14588669256921
NLD,2015,4.84837059519835
NLD,2014,8.54625757819212
NLD,2013,7.90135338752684
NLD,2012,7.50199225228894
NLD,2011,7.01569973680718
NLD,2010,6.40659475745775
NLD,2009,3.34540739416213
NLD,2008,4.06750194753687
NLD,2007,5.86450821149171
NLD,2006,7.75425232709905
NLD,2005,6.04101636574987
NLD,2004,6.7018638215175
NLD,2003,5.13225020681316
NLD,2002,2.3200196402228
NLD,2001,2.26893537254394
NLD,2000,1.73766088925111
NLD,1999,3.50211167072708
NLD,1998,2.97096972527192
NLD,1997,6.00630455392245
NLD,1996,4.7637693691811
NLD,1995,5.68975460228792
NLD,1994,4.55484743526397
NLD,1993,3.72901695535227
NLD,1992,1.88350974641952
NLD,1991,2.27649103804339
NLD,1990,2.53727950744813
NLD,1989,3.88024257725665
NLD,1988,2.7190497431411
NLD,1987,1.70594341471591
NLD,1986,2.14669367203072
NLD,1985,2.94862677145791
NCL,2016,-7.49878946256032
NCL,2015,-12.8101852123627
NCL,2014,-12.2281865063866
NCL,2013,-17.7669952366321
NCL,2012,-20.0199924731485
NCL,2011,-13.4437447217601
NCL,2010,-14.5218511333909
NCL,2009,-9.46213629763792
NCL,2008,-15.6459029644441
NCL,2007,-3.33329200092358
NCL,2006,-5.92906058591189
NCL,2005,-1.80252744533202
NCL,2004,4.35183034856489
NCL,2003,-0.755998521964056
NCL,2002,-2.86678508081955
NZL,2020,-1.08410494847097
NZL,2019,-2.82165942136874
NZL,2018,-4.15932869648256
NZL,2017,-2.91839840958751
NZL,2016,-2.15354137286067
NZL,2015,-2.6162133105434
NZL,2014,-3.08852510613802
NZL,2013,-3.05577074462661
NZL,2012,-3.90081294586841
NZL,2011,-2.86247732029099
NZL,2010,-2.33469330577729
NZL,2009,-2.47419947301186
NZL,2008,-7.69181610885173
NZL,2007,-6.79701754359096
NZL,2006,-7.06517341361543
NZL,2005,-6.99536794869389
NZL,2004,-4.50791009901216
NZL,2003,-2.40599179153862
NZL,2002,-2.09521936295547
NZL,2001,-0.776440240634347
NZL,2000,-3.30284871216651
NIC,2020,3.77325208673091
NIC,2019,5.93825181295118
NIC,2018,-1.79728223029998
NIC,2017,-7.1602180538079
NIC,2016,-8.48330631920504
NIC,2015,-9.87324597391166
NIC,2014,-8.02832297774323
NIC,2013,-12.5685284248506
NIC,2012,-11.7242497122842
NIC,2011,-11.9077223652027
NIC,2010,-8.87470374065858
NIC,2009,-8.45312867792372
NIC,2008,-17.0684421646058
NIC,2007,-16.2594506892154
NIC,2006,-13.0801722823838
NIC,2005,-12.3956621334031
NIC,2004,-11.8661827985183
NIC,2003,-13.2557258638297
NIC,2002,-15.0103547636833
NIC,2001,-15.3276907217401
NIC,2000,-18.3126344819719
NIC,1999,-19.1180597152813
NIC,1998,-14.8130429693637
NIC,1997,-19.1519607565273
NIC,1996,-19.1435615894481
NIC,1995,-17.4492145577676
NIC,1994,-23.5791962313358
NIC,1993,-34.4045397460347
NIC,1992,-42.8937974118697
NIC,1991,-17.7457864195992
NIC,1990,-30.2341217494452
NIC,1989,-35.6993132803722
NIC,1988,-27.1922146035063
NIC,1987,-17.9268793853053
NIC,1986,-23.9275071541971
NIC,1985,-28.7252680466012
NER,2020,-13.2104717583835
NER,2019,-12.1993364507939
NER,2018,-12.6586015970767
NER,2017,-11.3934461122486
NER,2016,-11.3633579890888
NER,2015,-15.3473430526611
NER,2014,-12.0310951996372
NER,2013,-11.2529264462121
NER,2012,-10.8373796125037
NER,2011,-16.3335422488128
NER,2010,-14.4829041887518
NER,2009,-18.0270234730353
NER,2008,-8.96292471931381
NER,2007,-6.13680984428318
NER,2006,-6.60182023558473
NER,2005,-7.10956498131608
NER,2004,-6.15019981758
NER,2003,-6.45750654841095
NER,2002,-5.95095241784039
NER,2001,-3.77103577195078
NER,2000,-4.65677330266078
NER,1999,-5.40711498610087
NER,1998,-5.76469887056396
NER,1997,-5.80368330028339
NER,1996,-4.5218931665648
NER,1995,-6.5867461128755
NER,1994,-6.50899287498019
NER,1993,-3.18346881621278
NER,1992,-4.70050474164017
NER,1991,-5.36190889584531
NER,1990,-6.71584277283357
NER,1989,-11.7855602108065
NER,1988,-10.1079206328771
NER,1987,-7.91625714414479
NER,1986,-8.19017249378988
NER,1985,-4.44144017856568
NGA,2020,-2.67061135743196
NGA,2019,-2.04801100743442
NGA,2018,1.72693303668361
NGA,2017,3.60982550121523
NGA,2016,1.25472098152786
NGA,2015,-3.13140101186134
NGA,2014,0.157882534299197
NGA,2013,3.66244030371784
NGA,2012,3.7446896447893
NGA,2011,2.57400123356654
NGA,2010,3.57264829109624
NGA,2009,4.70138235015375
NGA,2008,8.58534493307947
NGA,2007,9.93609280353565
NGA,2006,15.3142425877273
NGA,2005,20.7940448372853
NGA,2004,12.4042052774237
NGA,2003,3.23719691054246
NGA,2002,1.13946817426015
NGA,2001,3.36845503733351
NGA,2000,10.7371768862311
NGA,1999,0.85510086297063
NGA,1998,-0.553602928004352
NGA,1997,0.0837634925250446
NGA,1996,0.591612746659758
NGA,1995,-0.569349975254787
NGA,1994,-2.64669476661827
NGA,1993,-1.37583994197616
NGA,1992,4.35622764868938
NGA,1991,2.02019931723546
NGA,1990,9.23137171937244
NGA,1989,2.47600151384044
NGA,1988,-0.59710515755535
NGA,1987,-0.138974926535839
NGA,1986,0.38478286071096
NGA,1985,3.53045930744717
MKD,2020,-2.91596537662612
MKD,2019,-2.98648910497822
MKD,2018,0.143273398779884
MKD,2017,-0.586294696197347
MKD,2016,-2.66389921940311
MKD,2015,-1.71222694530355
MKD,2014,-0.481713137157683
MKD,2013,-1.63764033882168
MKD,2012,-3.27478423718894
MKD,2011,-2.49367551945884
MKD,2010,-2.10791254447936
MKD,2009,-6.48354076815341
MKD,2008,-12.4707536603642
MKD,2007,-7.26623240489014
MKD,2006,-0.416080626106531
MKD,2005,-2.54533490974662
MKD,2004,-7.94691572310684
MKD,2003,-3.75035857468212
MKD,2002,-9.42563749802039
MKD,2001,-6.344343807859
MKD,2000,-2.73306730994392
MKD,1999,-1.69696104187635
MKD,1998,-7.43809653632584
MKD,1997,-7.04040325202006
MKD,1996,-6.20720983576967
NOR,2020,1.14557292891118
NOR,2019,2.91600859889184
NOR,2018,7.94959431636823
NOR,2017,5.38896566318332
NOR,2016,3.98049523650322
NOR,2015,8.0136070886240809
NOR,2014,10.954886718139
NOR,2013,10.1612781853654
NOR,2012,12.3837606139974
NOR,2011,13.2546443935369
NOR,2010,11.6594077914656
NOR,2009,11.6422035687715
NOR,2008,15.6834391144207
NOR,2007,12.3514714981709
NOR,2006,16.1172176953327
NOR,2005,16.1196583458525
NOR,2004,12.4402161309479
NOR,2003,12.0747466077901
NOR,2002,12.3875440189491
NOR,2001,15.8091308133007
NOR,2000,14.6268809774529
NOR,1999,5.45536839944684
NOR,1998,0.0039606056832463
NOR,1997,6.2197314749599
NOR,1996,6.7079936617906
NOR,1995,3.4417823140897
NOR,1994,2.95773731509195
NOR,1993,2.92107412417418
NOR,1992,3.41719782044257
NOR,1991,4.12461565471791
NOR,1990,3.32681988034128
NOR,1989,0.218208260788841
NOR,1988,-3.81610538770097
NOR,1987,-4.35027445597645
NOR,1986,-5.74516753587734
NOR,1985,4.63242376677831
OMN,2020,-16.5486765828435
OMN,2019,-4.91818869978251
OMN,2018,-4.85027419563219
OMN,2017,-13.6143943671897
OMN,2016,-16.6107645205386
OMN,2015,-13.7812835379107
OMN,2014,4.62995815380295
OMN,2013,5.87992091672238
OMN,2012,8.99068507231773
OMN,2011,11.4435714770698
OMN,2010,7.59476361744697
OMN,2009,-0.784047994334516
OMN,2008,7.22971355183886
OMN,2007,5.09706270360498
OMN,2006,13.2991735436226
OMN,2005,14.5817585186487
OMN,2004,3.08879459662564
OMN,2003,5.87796132532779
OMN,2002,8.4161151014241
OMN,2001,9.37796465255733
OMN,2000,14.0586857970743
